,DebtToIncomeRatio,count
1195,3.71,1
1196,0.1545,1
1197,0.05587999999999999,1
1198,0.04475,1
1199,0.03909,1
1200,0.34452,1
1201,0.09206,1
1202,0.13774,1
1203,0.04983,1
1204,0.15248,1
1205,0.19893,1
1206,0.06056,1
